id,caseId,createdAt,updatedAt,priorityChanged,activity,priority,deadline,status,details
"470e4665-60e7-4bd6-ac8e-7d3c3a183541","6d02c2e3-5459-4a38-b00d-059f415f13a5","2025-10-24T14:16:45.228327Z","2025-10-24T14:16:45.228327Z","2025-10-24T14:16:45.228327Z",TROUBLESHOOT,CRITICAL,2025-10-25T14:15:43.112Z,REQUIRED,"Troubleshoot CMS unit connectivity via SkySpecs hardware troubleshooting guide."
"2371bc1d-f47d-4d85-a136-74f3ee7845d0","9fb9c447-9a35-4b9b-8565-27199fa10ae0","2025-09-26T19:44:55.455617Z","2025-09-26T19:44:55.455617Z","2025-09-26T19:44:55.455617Z",TROUBLESHOOT,HIGH,2025-10-11T19:33:05.210Z,REQUIRED,"Troubleshoot CMS unit connectivity via SkySpecs hardware troubleshooting guide."
"c1768978-9603-451e-a7f6-03d21bbf3d9e","de4d48ef-6403-4bd3-b228-f215ed7aa0a5","2025-09-26T19:48:45.654359Z","2025-09-26T19:48:45.654359Z","2025-09-26T19:48:45.654359Z",TROUBLESHOOT,HIGH,2025-10-11T19:33:05.210Z,REQUIRED,"Troubleshoot Gearbox/Intermediate Shaft/Accelerometer accelerometer connectivity via SkySpecs hardware troubleshooting guide. Alternatively, in case of poor data quality: replace Gearbox/Intermediate Shaft/Accelerometer accelerometer and/or cabling."
"76897203-364d-4f48-9e2d-ebfd1678f44c","44ab2445-e816-4376-bbfd-2c5db58f26d0","2025-09-26T19:47:36.781800Z","2025-09-26T19:47:36.781800Z","2025-09-26T19:47:36.781800Z",TROUBLESHOOT,HIGH,2025-10-11T19:33:05.210Z,REQUIRED,"Troubleshoot Gearbox/Intermediate Shaft/Accelerometer accelerometer connectivity via SkySpecs hardware troubleshooting guide. Alternatively, in case of poor data quality: replace Gearbox/Intermediate Shaft/Accelerometer accelerometer and/or cabling."
"8684aa0c-e0c8-48be-8e20-5f2a33726740","400126c2-7ba3-46d5-aa47-6552509963f1","2025-09-26T19:50:20.346544Z","2025-09-26T19:50:20.346544Z","2025-09-26T19:50:20.346544Z",TROUBLESHOOT,HIGH,2025-10-11T19:33:05.210Z,REQUIRED,"Troubleshoot Gearbox/Intermediate Shaft/Accelerometer accelerometer connectivity via SkySpecs hardware troubleshooting guide. Alternatively, in case of poor data quality: replace Gearbox/Intermediate Shaft/Accelerometer accelerometer and/or cabling."
"def4ae74-12a9-4e98-8dff-6d1544e064a2","3a4c3950-8e8f-4e02-853d-e6283a1303bc","2025-09-26T19:52:27.061071Z","2025-09-26T19:52:27.061071Z","2025-09-26T19:52:27.061071Z",TROUBLESHOOT,HIGH,2025-10-11T19:33:05.210Z,REQUIRED,"Troubleshoot CMS unit connectivity via SkySpecs hardware troubleshooting guide."
"77fb6c0a-0a2c-4ae6-8afc-59536a64aed4","32dca470-c154-40ab-800c-fb8e1db0cf6a","2025-09-30T11:44:53.570789Z","2025-09-30T11:44:53.570789Z","2025-09-30T11:44:53.570789Z",TROUBLESHOOT,LOW,2026-01-28T11:13:32.838Z,REQUIRED,"Troubleshoot Gearbox/Intermediate Shaft/Accelerometer accelerometer connectivity via SkySpecs hardware troubleshooting guide. Alternatively, in case of poor data quality: replace Gearbox/Intermediate Shaft/Accelerometer accelerometer and/or cabling."
"678122a1-ee66-4fd3-9b7d-17546b0fb495","adb5455b-721c-415e-aab9-9900b9394ccd","2025-07-08T13:35:34.178223Z","2025-10-06T19:03:24.282714Z","2025-07-08T13:35:34.178223Z",BORESCOPE_INSPECTION,HIGH,2025-07-23T13:21:49.701Z,COMPLETED,"1. Perform thorough de-grease of Rotor Shaft/Bearing/RE. Note condition of removed grease and optionally, save sample for analysis
2. Perform careful photographic inspection of inner ring, outer ring, and rolling element surfaces, recording observation of any chipping, spalling, or abrasive wear
3. Re-grease the bearing."
"bbc3afcd-49ee-4621-9ede-5b4adce9bc7d","9f9260f4-2883-4907-8a78-f7aaa880a69a","2025-03-11T21:00:32.313888Z","2025-03-11T21:42:43.099750Z","2025-03-11T21:42:43.099750Z",TROUBLESHOOT,CRITICAL,2025-03-12T20:52:42.621Z,REQUIRED,"Troubleshoot CMS unit connectivity via SkySpecs hardware troubleshooting guide."
"bcb84e0f-bdcf-46c3-9804-40b25b5bf354","d7d435c9-5233-4fe6-bf83-3897038319af","2025-03-11T21:03:06.744939Z","2025-03-11T21:43:33.205971Z","2025-03-11T21:43:33.205971Z",TROUBLESHOOT,CRITICAL,2025-03-12T20:52:42.621Z,REQUIRED,"Troubleshoot CMS unit connectivity via SkySpecs hardware troubleshooting guide."
